,dummyLocation,gpsPerturbated,dumRadMin,dumRadStep,pertDec,alpha,tradeOff
24,True,False,3000,2000,-1,0.06,0.022095940689107883
24,True,False,3000,2000,-1,0.062,0.02283247204541148
24,True,False,3000,2000,-1,0.064,0.023569003401715076
24,True,False,3000,2000,-1,0.066,0.024305534758018672
24,True,False,3000,2000,-1,0.068,0.02504206611432227
24,True,False,3000,2000,-1,0.07,0.025778597470625865
24,True,False,3000,2000,-1,0.072,0.026515128826929458
24,True,False,3000,2000,-1,0.074,0.027251660183233054
24,True,False,3000,2000,-1,0.076,0.02798819153953665
24,True,False,3000,2000,-1,0.078,0.028724722895840247
24,True,False,3000,2000,-1,0.08,0.029461254252143847
24,True,False,3000,2000,-1,0.082,0.030197785608447443
24,True,False,3000,2000,-1,0.084,0.03093431696475104
24,True,False,3000,2000,-1,0.086,0.03167084832105463
24,True,False,3000,2000,-1,0.088,0.032407379677358225
24,True,False,3000,2000,-1,0.09,0.03314391103366182
24,True,False,3000,2000,-1,0.092,0.03388044238996542
24,True,False,3000,2000,-1,0.094,0.03461697374626902
24,True,False,3000,2000,-1,0.096,0.03535350510257262
